"CIF","CARDNUMBER","TRANSACTIONID"
1,"348-14-6088",751133
2,"285-83-6186",268445
3,"811-84-3310",748511
4,"773-80-8680",777162
5,"171-24-1530",523244
6,"110-44-7471",976171
7,"425-86-2712",870688
8,"830-04-7362",506821
9,"564-28-0407",435827
10,"077-14-3850",610627
11,"748-68-5701",579725
12,"031-57-1657",669062
13,"142-35-0766",621798
14,"145-28-6565",248053
15,"112-63-6481",856481
16,"853-42-5384",323471
17,"832-23-2782",729559
18,"702-72-3427",946758
19,"010-51-1700",613895
20,"355-41-2463",875775
21,"725-05-6638",563482
22,"105-78-4218",539991
23,"043-88-2028",785412
24,"865-72-7506",612518
25,"565-50-8781",718044
26,"358-87-6367",898324
27,"778-08-5267",798592
28,"322-56-6040",551902
29,"417-50-2805",167198
30,"478-77-0168",159488
31,"057-47-0307",184191
32,"731-01-3327",449761
33,"084-76-7037",776734
34,"667-88-5438",234492
35,"775-26-1206",527395
36,"723-13-7731",993840
37,"377-16-0536",896665
38,"588-25-0202",523295
39,"573-50-0347",821061
40,"801-64-4471",323634
41,"354-16-2062",388107
42,"837-86-6353",522436
43,"471-02-2438",950761
44,"745-84-5503",965705
45,"542-35-2342",844857
46,"161-78-0226",659326
47,"100-74-7353",507492
48,"821-51-0773",262376
49,"500-88-5554",946887
50,"362-64-7780",389060
51,"671-68-5564",236726
52,"060-11-2111",172841
53,"682-81-7633",581671
54,"710-87-8515",311792
55,"804-18-1012",383688
56,"117-77-0065",135672
57,"624-13-0454",586169
58,"328-13-7268",657185
59,"461-25-2550",578878
60,"347-47-0667",476775
61,"134-35-4852",830525
62,"105-66-5586",150558
63,"345-71-0885",465267
64,"636-02-3822",569752
65,"583-85-7164",269002
66,"803-22-4017",213707
67,"824-65-1518",729720
68,"348-74-5400",615181
69,"075-68-1033",418681
70,"428-12-4181",337696
71,"606-32-8656",457797
72,"810-82-6185",212865
73,"773-36-5267",381583
74,"011-20-5434",422499
75,"181-68-1544",348645
76,"816-73-7264",700118
77,"637-18-8217",694908
78,"427-26-4174",731785
79,"232-33-8711",907227
80,"323-08-2058",719233
81,"001-78-5567",322162
82,"478-83-4181",995381
83,"536-34-7814",487952
84,"478-07-6871",225892
85,"031-21-8088",388499
86,"842-34-2305",111492
87,"652-07-4277",422173
88,"458-65-8450",567455
89,"760-55-5756",736429
90,"664-42-2061",482851
91,"872-51-8188",867754
92,"623-81-7544",639276
93,"170-78-2658",582676
94,"481-16-5303",688553
95,"682-58-1827",333046
96,"504-33-0552",882864
97,"134-40-3885",105787
98,"438-28-8232",394819
99,"418-87-2656",914715
100,"160-61-7604",374965
1,"348-14-6088",433521
2,"285-83-6186",921771
3,"811-84-3310",585402
4,"773-80-8680",223979
5,"171-24-1530",687488
6,"110-44-7471",431620
7,"425-86-2712",264637
8,"830-04-7362",697978
9,"564-28-0407",247984
10,"077-14-3850",446084
11,"748-68-5701",108309
12,"031-57-1657",319777
13,"142-35-0766",103192
14,"145-28-6565",258327
15,"112-63-6481",358631
16,"853-42-5384",760382
17,"832-23-2782",420337
18,"702-72-3427",838681
19,"010-51-1700",364624
20,"355-41-2463",926952
21,"725-05-6638",739151
22,"105-78-4218",795644
23,"043-88-2028",604766
24,"865-72-7506",300916
25,"565-50-8781",809399
26,"358-87-6367",568853
27,"778-08-5267",548523
28,"322-56-6040",556529
29,"417-50-2805",711059
30,"478-77-0168",611131
31,"057-47-0307",344446
32,"731-01-3327",855641
33,"084-76-7037",802363
34,"667-88-5438",650030
35,"775-26-1206",728414
36,"723-13-7731",202101
37,"377-16-0536",149921
38,"588-25-0202",842529
39,"573-50-0347",763433
40,"801-64-4471",432685
41,"354-16-2062",592129
42,"837-86-6353",717863
43,"471-02-2438",120619
44,"745-84-5503",780400
45,"542-35-2342",390995
46,"161-78-0226",420039
47,"100-74-7353",918472
48,"821-51-0773",356473
49,"500-88-5554",164410
50,"362-64-7780",882661
51,"671-68-5564",917145
52,"060-11-2111",975495
53,"682-81-7633",628120
54,"710-87-8515",961992
55,"804-18-1012",713747
56,"117-77-0065",406331
57,"624-13-0454",577117
58,"328-13-7268",436785
59,"461-25-2550",242202
60,"347-47-0667",511087
61,"134-35-4852",797656
62,"105-66-5586",863454
63,"345-71-0885",391632
64,"636-02-3822",372958
65,"583-85-7164",276529
66,"803-22-4017",511154
67,"824-65-1518",362179
68,"348-74-5400",642982
69,"075-68-1033",566737
70,"428-12-4181",998558
71,"606-32-8656",407683
72,"810-82-6185",478917
73,"773-36-5267",138509
74,"011-20-5434",504401
75,"181-68-1544",976053
76,"816-73-7264",135688
77,"637-18-8217",552598
78,"427-26-4174",937192
79,"232-33-8711",507271
80,"323-08-2058",921303
81,"001-78-5567",960214
82,"478-83-4181",405678
83,"536-34-7814",965708
84,"478-07-6871",276511
85,"031-21-8088",726065
86,"842-34-2305",502342
87,"652-07-4277",925241
88,"458-65-8450",515470
89,"760-55-5756",487697
90,"664-42-2061",646433
91,"872-51-8188",880551
92,"623-81-7544",849430
93,"170-78-2658",988088
94,"481-16-5303",270713
95,"682-58-1827",779133
96,"504-33-0552",832905
97,"134-40-3885",938265
98,"438-28-8232",144679
99,"418-87-2656",167240
100,"160-61-7604",980191
1,"348-14-6088",708971
2,"285-83-6186",465919
3,"811-84-3310",879285
4,"773-80-8680",781093
5,"171-24-1530",151482
6,"110-44-7471",129417
7,"425-86-2712",710321
8,"830-04-7362",228801
9,"564-28-0407",969965
10,"077-14-3850",809253
11,"748-68-5701",400513
12,"031-57-1657",109633
13,"142-35-0766",170472
14,"145-28-6565",550498
15,"112-63-6481",246269
16,"853-42-5384",586325
17,"832-23-2782",813016
18,"702-72-3427",376420
19,"010-51-1700",389754
20,"355-41-2463",261209
21,"725-05-6638",696059
22,"105-78-4218",666216
23,"043-88-2028",762936
24,"865-72-7506",363621
25,"565-50-8781",372012
26,"358-87-6367",785489
27,"778-08-5267",112731
28,"322-56-6040",673650
29,"417-50-2805",341030
30,"478-77-0168",199882
31,"057-47-0307",151270
32,"731-01-3327",835149
33,"084-76-7037",965590
34,"667-88-5438",297233
35,"775-26-1206",104722
36,"723-13-7731",336342
37,"377-16-0536",732668
38,"588-25-0202",314847
39,"573-50-0347",489125
40,"801-64-4471",554820
41,"354-16-2062",607949
42,"837-86-6353",114886
43,"471-02-2438",138269
44,"745-84-5503",270643
45,"542-35-2342",502527
46,"161-78-0226",818244
47,"100-74-7353",629891
48,"821-51-0773",671339
49,"500-88-5554",934828
50,"362-64-7780",129970
51,"671-68-5564",888472
52,"060-11-2111",755213
53,"682-81-7633",289719
54,"710-87-8515",183683
55,"804-18-1012",802888
56,"117-77-0065",658759
57,"624-13-0454",367905
58,"328-13-7268",449566
59,"461-25-2550",288691
60,"347-47-0667",776723
61,"134-35-4852",403787
62,"105-66-5586",793912
63,"345-71-0885",785792
64,"636-02-3822",542090
65,"583-85-7164",569503
66,"803-22-4017",542551
67,"824-65-1518",592046
68,"348-74-5400",965727
69,"075-68-1033",529520
70,"428-12-4181",973959
71,"606-32-8656",614005
72,"810-82-6185",591029
73,"773-36-5267",860417
74,"011-20-5434",383904
75,"181-68-1544",864910
76,"816-73-7264",463460
77,"637-18-8217",627068
78,"427-26-4174",605754
79,"232-33-8711",721679
80,"323-08-2058",307737
81,"001-78-5567",624848
82,"478-83-4181",627342
83,"536-34-7814",338281
84,"478-07-6871",834117
85,"031-21-8088",834405
86,"842-34-2305",484321
87,"652-07-4277",870601
88,"458-65-8450",943869
89,"760-55-5756",756374
90,"664-42-2061",788508
91,"872-51-8188",163104
92,"623-81-7544",935409
93,"170-78-2658",228203
94,"481-16-5303",450467
95,"682-58-1827",284961
96,"504-33-0552",477280
97,"134-40-3885",243259
98,"438-28-8232",300392
99,"418-87-2656",881481
100,"160-61-7604",505262
1,"348-14-6088",899161
2,"285-83-6186",140978
3,"811-84-3310",603919
4,"773-80-8680",316045
5,"171-24-1530",875040
6,"110-44-7471",908953
7,"425-86-2712",433277
8,"830-04-7362",628520
9,"564-28-0407",880986
10,"077-14-3850",858299
11,"748-68-5701",519772
1,"348-14-6088",602349
2,"285-83-6186",583789
3,"811-84-3310",340370
4,"773-80-8680",935692
5,"171-24-1530",533743
6,"110-44-7471",723746
7,"425-86-2712",395970
8,"830-04-7362",320173
9,"564-28-0407",387391
10,"077-14-3850",297785
11,"748-68-5701",666952
12,"031-57-1657",435591
13,"142-35-0766",387634
14,"145-28-6565",596833
15,"112-63-6481",338562
16,"853-42-5384",492253
17,"832-23-2782",376525
18,"702-72-3427",424365
19,"010-51-1700",957396
20,"355-41-2463",268885
21,"725-05-6638",416855
22,"105-78-4218",598885
23,"043-88-2028",267523
24,"865-72-7506",408283
25,"565-50-8781",279031
26,"358-87-6367",868535
27,"778-08-5267",392719
28,"322-56-6040",345671
29,"417-50-2805",709924
30,"478-77-0168",712359
31,"057-47-0307",203290
32,"731-01-3327",284638
33,"084-76-7037",759259
34,"667-88-5438",146288
35,"775-26-1206",787929
36,"723-13-7731",691849
37,"377-16-0536",244901
38,"588-25-0202",125203
39,"573-50-0347",728848
40,"801-64-4471",519956
41,"354-16-2062",441140
42,"837-86-6353",746545
43,"471-02-2438",748607
44,"745-84-5503",953307
45,"542-35-2342",189355
46,"161-78-0226",591142
47,"100-74-7353",646540
48,"821-51-0773",914878
49,"500-88-5554",147117
50,"362-64-7780",598841
51,"671-68-5564",968539
52,"060-11-2111",596446
53,"682-81-7633",972343
54,"710-87-8515",551314
55,"804-18-1012",452087
56,"117-77-0065",242092
57,"624-13-0454",943778
58,"328-13-7268",529604
59,"461-25-2550",965849
60,"347-47-0667",201000
61,"134-35-4852",294365
62,"105-66-5586",330730
63,"345-71-0885",429397
64,"636-02-3822",907476
65,"583-85-7164",364078
66,"803-22-4017",320307
67,"824-65-1518",913237
68,"348-74-5400",956336
69,"075-68-1033",720714
70,"428-12-4181",204638
71,"606-32-8656",351276
72,"810-82-6185",589901
73,"773-36-5267",626881
74,"011-20-5434",313780
75,"181-68-1544",353128
76,"816-73-7264",626440
77,"637-18-8217",651121
78,"427-26-4174",997973
79,"232-33-8711",474043
80,"323-08-2058",531833
81,"001-78-5567",379453
82,"478-83-4181",730930
83,"536-34-7814",934439
84,"478-07-6871",463549
85,"031-21-8088",749698
86,"842-34-2305",363233
87,"652-07-4277",320567
88,"458-65-8450",804120
89,"760-55-5756",611593
90,"664-42-2061",175042
91,"872-51-8188",254024
92,"623-81-7544",902945
93,"170-78-2658",189376
94,"481-16-5303",267334
95,"682-58-1827",440248
96,"504-33-0552",561862
97,"134-40-3885",515451
98,"438-28-8232",319424
99,"418-87-2656",615424
100,"160-61-7604",528667
1,"348-14-6088",317759
2,"285-83-6186",808633
3,"811-84-3310",406409
4,"773-80-8680",287291
5,"171-24-1530",354977
6,"110-44-7471",540174
7,"425-86-2712",976764
8,"830-04-7362",650033
9,"564-28-0407",890318
10,"077-14-3850",127176
11,"748-68-5701",586536
1,"348-14-6088",498675
2,"285-83-6186",159514
3,"811-84-3310",713961
4,"773-80-8680",600783
5,"171-24-1530",246238
6,"110-44-7471",996599
7,"425-86-2712",960515
8,"830-04-7362",837574
9,"564-28-0407",852289
10,"077-14-3850",569811
11,"748-68-5701",900515
12,"031-57-1657",120750
13,"142-35-0766",657905
14,"145-28-6565",815436
15,"112-63-6481",459785
16,"853-42-5384",775345
17,"832-23-2782",938065
18,"702-72-3427",617834
19,"010-51-1700",688469
20,"355-41-2463",151866
21,"725-05-6638",178372
22,"105-78-4218",661826
23,"043-88-2028",849647
24,"865-72-7506",164086
25,"565-50-8781",121515
26,"358-87-6367",273731
27,"778-08-5267",936132
28,"322-56-6040",786473
29,"417-50-2805",876443
30,"478-77-0168",122953
31,"057-47-0307",128516
32,"731-01-3327",178221
33,"084-76-7037",650805
34,"667-88-5438",965840
35,"775-26-1206",456819
36,"723-13-7731",775417
37,"377-16-0536",515586
38,"588-25-0202",956764
39,"573-50-0347",543206
40,"801-64-4471",670775
41,"354-16-2062",996579
42,"837-86-6353",876889
43,"471-02-2438",614408
44,"745-84-5503",792172
45,"542-35-2342",494525
46,"161-78-0226",511357
47,"100-74-7353",394716
48,"821-51-0773",194000
49,"500-88-5554",151182
50,"362-64-7780",514142
51,"671-68-5564",576397
52,"060-11-2111",892445
53,"682-81-7633",581583
54,"710-87-8515",353935
55,"804-18-1012",370439
56,"117-77-0065",440881
57,"624-13-0454",881333
58,"328-13-7268",129623
59,"461-25-2550",372260
60,"347-47-0667",115692
61,"134-35-4852",183945
62,"105-66-5586",676683
63,"345-71-0885",311928
64,"636-02-3822",485452
65,"583-85-7164",510766
66,"803-22-4017",502981
67,"824-65-1518",990809
68,"348-74-5400",666173
69,"075-68-1033",443445
70,"428-12-4181",928878
71,"606-32-8656",840402
72,"810-82-6185",461354
73,"773-36-5267",805778
74,"011-20-5434",271046
75,"181-68-1544",549769
76,"816-73-7264",305446
77,"637-18-8217",720255
78,"427-26-4174",163611
79,"232-33-8711",461513
80,"323-08-2058",151119
81,"001-78-5567",563109
82,"478-83-4181",292582
83,"536-34-7814",222305
84,"478-07-6871",196630
85,"031-21-8088",713455
86,"842-34-2305",859985
87,"652-07-4277",588808
88,"458-65-8450",904293
89,"760-55-5756",210352
90,"664-42-2061",442658
91,"872-51-8188",840222
92,"623-81-7544",162631
93,"170-78-2658",163504
94,"481-16-5303",844531
95,"682-58-1827",541946
96,"504-33-0552",940384
97,"134-40-3885",210734
98,"438-28-8232",694125
99,"418-87-2656",274256
100,"160-61-7604",327322
1,"348-14-6088",115521
2,"285-83-6186",967132
3,"811-84-3310",137130
4,"773-80-8680",138804
5,"171-24-1530",704111
6,"110-44-7471",724631
7,"425-86-2712",973071
8,"830-04-7362",576904
9,"564-28-0407",442272
10,"077-14-3850",564829
11,"748-68-5701",110432
1,"348-14-6088",162577
2,"285-83-6186",578919
3,"811-84-3310",298838
4,"773-80-8680",680360
5,"171-24-1530",358164
6,"110-44-7471",662736
7,"425-86-2712",441108
8,"830-04-7362",719024
9,"564-28-0407",268703
10,"077-14-3850",221271
11,"748-68-5701",586031
12,"031-57-1657",609915
13,"142-35-0766",651959
14,"145-28-6565",951046
15,"112-63-6481",334631
16,"853-42-5384",523013
17,"832-23-2782",546917
18,"702-72-3427",301890
19,"010-51-1700",401917
20,"355-41-2463",206675
21,"725-05-6638",878050
22,"105-78-4218",128823
23,"043-88-2028",170840
24,"865-72-7506",759154
25,"565-50-8781",296381
26,"358-87-6367",184952
27,"778-08-5267",559259
28,"322-56-6040",114813
29,"417-50-2805",498646
30,"478-77-0168",188008
31,"057-47-0307",313222
32,"731-01-3327",165742
33,"084-76-7037",709213
34,"667-88-5438",599334
35,"775-26-1206",394882
36,"723-13-7731",451882
37,"377-16-0536",749959
38,"588-25-0202",987718
39,"573-50-0347",858819
40,"801-64-4471",395872
41,"354-16-2062",723463
42,"837-86-6353",194385
43,"471-02-2438",155268
44,"745-84-5503",898791
45,"542-35-2342",270717
46,"161-78-0226",560147
47,"100-74-7353",370951
48,"821-51-0773",764197
49,"500-88-5554",964783
50,"362-64-7780",251536
51,"671-68-5564",259809
52,"060-11-2111",953099
53,"682-81-7633",402108
54,"710-87-8515",900439
55,"804-18-1012",373272
56,"117-77-0065",992345
57,"624-13-0454",601047
58,"328-13-7268",874288
59,"461-25-2550",158921
60,"347-47-0667",106241
61,"134-35-4852",183470
62,"105-66-5586",143646
63,"345-71-0885",533012
64,"636-02-3822",582403
65,"583-85-7164",870676
66,"803-22-4017",856343
67,"824-65-1518",223393
68,"348-74-5400",528297
69,"075-68-1033",614067
70,"428-12-4181",613789
71,"606-32-8656",436684
72,"810-82-6185",854370
73,"773-36-5267",178375
74,"011-20-5434",939361
75,"181-68-1544",808060
76,"816-73-7264",356438
77,"637-18-8217",133338
78,"427-26-4174",970511
79,"232-33-8711",504897
80,"323-08-2058",738712
81,"001-78-5567",778385
82,"478-83-4181",271833
83,"536-34-7814",179571
84,"478-07-6871",933378
85,"031-21-8088",733494
86,"842-34-2305",618953
87,"652-07-4277",338493
88,"458-65-8450",498376
89,"760-55-5756",456371
90,"664-42-2061",348307
91,"872-51-8188",821067
92,"623-81-7544",820905
93,"170-78-2658",220602
94,"481-16-5303",590021
95,"682-58-1827",717211
96,"504-33-0552",610233
97,"134-40-3885",977770
98,"438-28-8232",518783
99,"418-87-2656",420620
100,"160-61-7604",285379
1,"348-14-6088",164881
2,"285-83-6186",639607
3,"811-84-3310",968107
4,"773-80-8680",498153
5,"171-24-1530",713413
6,"110-44-7471",192554
7,"425-86-2712",763733
8,"830-04-7362",361724
9,"564-28-0407",202161
10,"077-14-3850",104830
11,"748-68-5701",252856
1,"348-14-6088",730492
2,"285-83-6186",364585
3,"811-84-3310",309241
4,"773-80-8680",110444
5,"171-24-1530",147119
6,"110-44-7471",442459
7,"425-86-2712",234053
8,"830-04-7362",768935
9,"564-28-0407",412862
10,"077-14-3850",911330
11,"748-68-5701",535997
12,"031-57-1657",574243
13,"142-35-0766",256891
14,"145-28-6565",530423
15,"112-63-6481",468067
16,"853-42-5384",702300
17,"832-23-2782",670021
18,"702-72-3427",696041
19,"010-51-1700",908330
20,"355-41-2463",266771
21,"725-05-6638",602092
22,"105-78-4218",872461
23,"043-88-2028",118182
24,"865-72-7506",536477
25,"565-50-8781",438012
26,"358-87-6367",489211
27,"778-08-5267",144605
28,"322-56-6040",268525
29,"417-50-2805",979949
30,"478-77-0168",881036
31,"057-47-0307",475610
32,"731-01-3327",201745
33,"084-76-7037",691186
34,"667-88-5438",396813
35,"775-26-1206",171031
36,"723-13-7731",366903
37,"377-16-0536",503330
38,"588-25-0202",410200
39,"573-50-0347",576699
40,"801-64-4471",688518
41,"354-16-2062",875107
42,"837-86-6353",783284
43,"471-02-2438",357578
44,"745-84-5503",669905
45,"542-35-2342",615711
46,"161-78-0226",723951
47,"100-74-7353",841370
48,"821-51-0773",888234
49,"500-88-5554",993953
50,"362-64-7780",147570
51,"671-68-5564",831028
52,"060-11-2111",866889
53,"682-81-7633",933568
54,"710-87-8515",831925
55,"804-18-1012",683325
56,"117-77-0065",129241
57,"624-13-0454",302398
58,"328-13-7268",349642
59,"461-25-2550",509894
60,"347-47-0667",328593
61,"134-35-4852",508773
62,"105-66-5586",657555
63,"345-71-0885",280234
64,"636-02-3822",106426
65,"583-85-7164",298402
66,"803-22-4017",817559
67,"824-65-1518",784383
68,"348-74-5400",832445
69,"075-68-1033",604508
70,"428-12-4181",704123
71,"606-32-8656",749105
72,"810-82-6185",679110
73,"773-36-5267",306878
74,"011-20-5434",777340
75,"181-68-1544",518956
76,"816-73-7264",721396
77,"637-18-8217",796619
78,"427-26-4174",614937
79,"232-33-8711",893470
80,"323-08-2058",672618
81,"001-78-5567",721137
82,"478-83-4181",185061
83,"536-34-7814",658794
84,"478-07-6871",656227
85,"031-21-8088",634789
86,"842-34-2305",416352
87,"652-07-4277",138719
88,"458-65-8450",520305
89,"760-55-5756",764656
90,"664-42-2061",609688
91,"872-51-8188",145326
92,"623-81-7544",865569
93,"170-78-2658",216555
94,"481-16-5303",495865
95,"682-58-1827",335224
96,"504-33-0552",306278
97,"134-40-3885",763816
98,"438-28-8232",208496
99,"418-87-2656",354737
100,"160-61-7604",221949
1,"348-14-6088",577007
2,"285-83-6186",471666
3,"811-84-3310",662061
4,"773-80-8680",567689
5,"171-24-1530",836839
6,"110-44-7471",777206
7,"425-86-2712",172807
8,"830-04-7362",432557
9,"564-28-0407",575048
10,"077-14-3850",596854
11,"748-68-5701",362847
1,"348-14-6088",799844
2,"285-83-6186",805725
3,"811-84-3310",969121
4,"773-80-8680",938355
5,"171-24-1530",295130
6,"110-44-7471",726910
7,"425-86-2712",231725
8,"830-04-7362",363215
9,"564-28-0407",820707
10,"077-14-3850",931923
11,"748-68-5701",361546
12,"031-57-1657",260979
13,"142-35-0766",695203
14,"145-28-6565",434643
15,"112-63-6481",603595
16,"853-42-5384",559143
17,"832-23-2782",898991
18,"702-72-3427",967783
19,"010-51-1700",411043
20,"355-41-2463",257533
21,"725-05-6638",192342
22,"105-78-4218",704428
23,"043-88-2028",407517
24,"865-72-7506",856840
25,"565-50-8781",709940
26,"358-87-6367",893237
27,"778-08-5267",969571
28,"322-56-6040",845840
29,"417-50-2805",700050
30,"478-77-0168",646815
31,"057-47-0307",954226
32,"731-01-3327",448622
33,"084-76-7037",777909
34,"667-88-5438",128414
35,"775-26-1206",579438
36,"723-13-7731",509391
37,"377-16-0536",390533
38,"588-25-0202",953361
39,"573-50-0347",263156
40,"801-64-4471",682407
41,"354-16-2062",599389
42,"837-86-6353",208992
43,"471-02-2438",241619
44,"745-84-5503",694563
45,"542-35-2342",295553
46,"161-78-0226",834105
47,"100-74-7353",105098
48,"821-51-0773",829679
49,"500-88-5554",870797
50,"362-64-7780",924047
51,"671-68-5564",546710
52,"060-11-2111",904766
53,"682-81-7633",822234
54,"710-87-8515",609326
55,"804-18-1012",652076
56,"117-77-0065",370079
57,"624-13-0454",152087
58,"328-13-7268",681456
59,"461-25-2550",812531
60,"347-47-0667",385696
61,"134-35-4852",710409
62,"105-66-5586",644250
63,"345-71-0885",124898
64,"636-02-3822",536830
65,"583-85-7164",685230
66,"803-22-4017",811088
67,"824-65-1518",671561
68,"348-74-5400",349487
69,"075-68-1033",168448
70,"428-12-4181",895635
71,"606-32-8656",684236
72,"810-82-6185",336887
73,"773-36-5267",455807
74,"011-20-5434",548014
75,"181-68-1544",867065
76,"816-73-7264",436999
77,"637-18-8217",794722
78,"427-26-4174",331796
79,"232-33-8711",388441
80,"323-08-2058",789208
81,"001-78-5567",621599
82,"478-83-4181",126183
83,"536-34-7814",192518
84,"478-07-6871",661882
85,"031-21-8088",789462
86,"842-34-2305",906092
87,"652-07-4277",504702
88,"458-65-8450",243838
89,"760-55-5756",252457
90,"664-42-2061",395592
91,"872-51-8188",425544
92,"623-81-7544",143894
93,"170-78-2658",681847
94,"481-16-5303",235691
95,"682-58-1827",859749
96,"504-33-0552",559764
97,"134-40-3885",444346
98,"438-28-8232",706403
99,"418-87-2656",142044
100,"160-61-7604",262532
1,"348-14-6088",921927
2,"285-83-6186",512705
3,"811-84-3310",231114
4,"773-80-8680",792571
5,"171-24-1530",508527
6,"110-44-7471",967075
7,"425-86-2712",637116
8,"830-04-7362",868970
9,"564-28-0407",816677
10,"077-14-3850",950298
11,"748-68-5701",390759
1,"348-14-6088",184969
2,"285-83-6186",611984
3,"811-84-3310",379970
4,"773-80-8680",306979
5,"171-24-1530",138419
6,"110-44-7471",600290
7,"425-86-2712",641215
8,"830-04-7362",751833
9,"564-28-0407",218383
10,"077-14-3850",142687
11,"748-68-5701",270201
12,"031-57-1657",583816
13,"142-35-0766",728427
14,"145-28-6565",918623
15,"112-63-6481",416058
16,"853-42-5384",197787
17,"832-23-2782",331822
18,"702-72-3427",580664
19,"010-51-1700",987431
20,"355-41-2463",405679
