"CIF","ACCOUNTNUMBER","TRANSACTIONID"
100,"430-04-5447",287062
1,"650-63-6154",377610
2,"875-13-4278",513428
3,"566-83-8044",571917
4,"532-16-1750",418959
5,"683-00-5812",226117
6,"060-21-3317",794690
7,"611-71-0203",545007
8,"820-62-2326",865016
9,"402-45-6427",829154
10,"827-22-6062",866605
11,"624-06-2107",609209
12,"534-06-7335",180479
13,"246-87-3132",767265
14,"434-24-5776",534837
15,"062-18-1716",354230
16,"762-54-2442",136357
17,"174-15-3773",239973
18,"305-46-6381",267488
19,"736-31-5657",215670
20,"745-50-1433",638888
21,"830-52-1651",836020
22,"338-58-3601",607581
23,"248-16-4677",695063
24,"228-00-7826",147636
25,"576-22-2236",236089
26,"025-44-7058",665319
27,"236-84-3454",924339
28,"600-23-4656",874687
29,"871-10-4712",381640
30,"785-65-8200",696180
31,"048-82-5416",247519
32,"483-67-1026",312163
33,"525-77-1330",759424
34,"045-61-4184",935544
35,"050-61-7466",612192
36,"855-21-8447",461396
37,"886-51-1363",165298
38,"088-56-6634",394440
39,"883-66-3870",672839
40,"423-13-4375",573766
41,"262-68-1121",125679
42,"560-48-1425",825365
43,"415-36-3166",434133
44,"272-72-6427",483219
45,"705-77-5861",629551
46,"726-55-0272",734307
47,"738-62-1855",133774
48,"241-68-2480",530007
49,"535-50-6535",808684
50,"145-15-6482",483807
51,"566-64-8428",887995
52,"430-15-6024",960721
53,"653-40-1765",438837
54,"178-66-4118",683432
55,"852-00-8323",996477
56,"514-65-8714",529507
57,"878-10-8537",416162
58,"646-01-7012",485810
59,"714-20-8170",832845
60,"882-04-1325",460406
61,"844-30-2613",284530
62,"258-61-0744",576744
63,"546-81-4528",779284
64,"562-02-6725",356919
65,"827-07-0132",725607
66,"888-78-1742",956815
67,"072-25-7603",604931
68,"567-41-5342",162860
69,"576-44-1300",423968
70,"211-84-4005",903618
71,"684-88-2707",213944
72,"256-10-2086",288149
73,"802-72-0825",405473
74,"857-13-2148",457617
75,"426-78-2440",512390
76,"833-10-4215",690951
77,"724-64-0000",987598
78,"513-53-4378",368722
79,"726-25-8582",178355
80,"211-26-8460",846494
81,"140-01-8617",492696
82,"671-30-0017",132101
83,"027-30-2606",759386
84,"406-42-0705",119074
85,"332-18-5087",739813
86,"673-72-3828",799057
87,"866-20-8743",869391
88,"266-30-3668",137706
89,"435-57-2316",322182
90,"885-18-6760",899805
91,"561-13-2636",834361
92,"574-27-2386",968780
93,"736-32-4742",635659
94,"034-82-4477",168982
95,"338-58-6732",276722
96,"431-70-1077",544791
97,"281-25-1765",918931
98,"625-82-2217",887035
99,"312-78-2310",355338
100,"430-04-5447",469755
100,"430-04-5447",142270
100,"430-04-5447",394243
1,"650-63-6154",491016
2,"875-13-4278",295144
3,"566-83-8044",118527
4,"532-16-1750",114994
5,"683-00-5812",191650
6,"060-21-3317",228474
7,"611-71-0203",881181
8,"820-62-2326",552064
9,"402-45-6427",238193
10,"827-22-6062",620769
11,"624-06-2107",940674
12,"534-06-7335",204857
13,"246-87-3132",111992
14,"434-24-5776",928552
15,"062-18-1716",457178
16,"762-54-2442",392621
17,"174-15-3773",759186
18,"305-46-6381",742819
19,"736-31-5657",882251
20,"745-50-1433",352388
21,"830-52-1651",374819
22,"338-58-3601",654843
23,"248-16-4677",950872
24,"228-00-7826",407692
25,"576-22-2236",228319
26,"025-44-7058",259657
27,"236-84-3454",524196
28,"600-23-4656",774353
29,"871-10-4712",116705
30,"785-65-8200",473532
31,"048-82-5416",676257
32,"483-67-1026",238230
33,"525-77-1330",276880
34,"045-61-4184",816490
35,"050-61-7466",849034
36,"855-21-8447",426841
37,"886-51-1363",811329
38,"088-56-6634",274418
39,"883-66-3870",188153
40,"423-13-4375",535051
41,"262-68-1121",920571
42,"560-48-1425",323669
43,"415-36-3166",102296
44,"272-72-6427",419023
45,"705-77-5861",659708
46,"726-55-0272",175060
47,"738-62-1855",393903
48,"241-68-2480",179574
49,"535-50-6535",411593
50,"145-15-6482",239205
51,"566-64-8428",159612
52,"430-15-6024",793696
53,"653-40-1765",479443
54,"178-66-4118",947383
55,"852-00-8323",385065
56,"514-65-8714",285988
57,"878-10-8537",317868
58,"646-01-7012",512221
59,"714-20-8170",147281
60,"882-04-1325",586662
61,"844-30-2613",520768
62,"258-61-0744",426024
63,"546-81-4528",388598
64,"562-02-6725",282447
65,"827-07-0132",256147
66,"888-78-1742",321538
67,"072-25-7603",307990
68,"567-41-5342",945397
69,"576-44-1300",302214
70,"211-84-4005",554669
71,"684-88-2707",491839
72,"256-10-2086",546659
73,"802-72-0825",294550
74,"857-13-2148",828491
75,"426-78-2440",484619
76,"833-10-4215",808387
77,"724-64-0000",819139
78,"513-53-4378",205029
79,"726-25-8582",947312
80,"211-26-8460",657075
81,"140-01-8617",112202
82,"671-30-0017",643341
83,"027-30-2606",815496
84,"406-42-0705",903162
85,"332-18-5087",616620
86,"673-72-3828",370899
87,"866-20-8743",928742
88,"266-30-3668",744223
89,"435-57-2316",115482
90,"885-18-6760",481477
91,"561-13-2636",116824
92,"574-27-2386",253965
93,"736-32-4742",807153
94,"034-82-4477",312539
95,"338-58-6732",578445
96,"431-70-1077",199767
97,"281-25-1765",704294
98,"625-82-2217",683520
99,"312-78-2310",778344
100,"430-04-5447",881976
98,"625-82-2217",581781
99,"312-78-2310",258037
100,"430-04-5447",766975
1,"650-63-6154",953961
2,"875-13-4278",419680
3,"566-83-8044",913270
4,"532-16-1750",490901
5,"683-00-5812",759001
6,"060-21-3317",822423
7,"611-71-0203",508880
8,"820-62-2326",118598
9,"402-45-6427",782328
10,"827-22-6062",936603
11,"624-06-2107",275879
12,"534-06-7335",766000
13,"246-87-3132",797717
14,"434-24-5776",669333
15,"062-18-1716",229990
16,"762-54-2442",518376
17,"174-15-3773",615450
18,"305-46-6381",465230
19,"736-31-5657",536871
20,"745-50-1433",693576
21,"830-52-1651",366305
22,"338-58-3601",279246
23,"248-16-4677",949956
24,"228-00-7826",365755
25,"576-22-2236",282117
26,"025-44-7058",541405
27,"236-84-3454",298689
28,"600-23-4656",226100
29,"871-10-4712",701944
30,"785-65-8200",208833
31,"048-82-5416",291615
32,"483-67-1026",554169
33,"525-77-1330",408329
34,"045-61-4184",731583
35,"050-61-7466",209302
36,"855-21-8447",399539
37,"886-51-1363",520765
38,"088-56-6634",746728
39,"883-66-3870",291258
40,"423-13-4375",936300
41,"262-68-1121",558663
42,"560-48-1425",835422
43,"415-36-3166",975950
44,"272-72-6427",204219
45,"705-77-5861",394366
46,"726-55-0272",276925
47,"738-62-1855",847825
48,"241-68-2480",868343
49,"535-50-6535",926674
50,"145-15-6482",467361
51,"566-64-8428",269312
52,"430-15-6024",195803
53,"653-40-1765",519768
54,"178-66-4118",897558
55,"852-00-8323",880197
56,"514-65-8714",118403
57,"878-10-8537",776042
58,"646-01-7012",495858
59,"714-20-8170",749208
60,"882-04-1325",587167
61,"844-30-2613",363995
62,"258-61-0744",110570
63,"546-81-4528",366015
64,"562-02-6725",930466
65,"827-07-0132",885806
66,"888-78-1742",534354
67,"072-25-7603",218631
68,"567-41-5342",247984
69,"576-44-1300",582157
70,"211-84-4005",360029
71,"684-88-2707",660267
72,"256-10-2086",835422
73,"802-72-0825",460509
74,"857-13-2148",575729
75,"426-78-2440",850917
76,"833-10-4215",670757
77,"724-64-0000",439449
78,"513-53-4378",527691
79,"726-25-8582",535410
80,"211-26-8460",261086
81,"140-01-8617",656308
82,"671-30-0017",413471
83,"027-30-2606",669569
84,"406-42-0705",411942
85,"332-18-5087",654437
86,"673-72-3828",481022
87,"866-20-8743",828547
88,"266-30-3668",709418
89,"435-57-2316",680914
90,"885-18-6760",835457
91,"561-13-2636",104890
92,"574-27-2386",822388
93,"736-32-4742",304069
94,"034-82-4477",400157
95,"338-58-6732",986682
96,"431-70-1077",755103
97,"281-25-1765",455976
98,"625-82-2217",837761
99,"312-78-2310",186665
100,"430-04-5447",601654
97,"281-25-1765",356940
98,"625-82-2217",506488
99,"312-78-2310",927441
100,"430-04-5447",846498
1,"650-63-6154",718867
2,"875-13-4278",825182
3,"566-83-8044",509453
4,"532-16-1750",590931
5,"683-00-5812",335610
6,"060-21-3317",443953
7,"611-71-0203",867863
8,"820-62-2326",727129
9,"402-45-6427",124282
10,"827-22-6062",344096
11,"624-06-2107",566506
12,"534-06-7335",602545
13,"246-87-3132",962411
14,"434-24-5776",938204
15,"062-18-1716",860016
16,"762-54-2442",972459
17,"174-15-3773",112829
18,"305-46-6381",345709
19,"736-31-5657",865944
20,"745-50-1433",976712
21,"830-52-1651",344516
22,"338-58-3601",625186
23,"248-16-4677",738037
24,"228-00-7826",389629
25,"576-22-2236",235673
26,"025-44-7058",770930
27,"236-84-3454",556159
28,"600-23-4656",475341
29,"871-10-4712",960735
30,"785-65-8200",479781
