"CIF","ACCOUNTNUMBER","TRANSACTIONID"
1,"650-63-6154",287062
2,"875-13-4278",377610
3,"566-83-8044",513428
4,"532-16-1750",571917
5,"683-00-5812",418959
6,"060-21-3317",226117
7,"611-71-0203",794690
8,"820-62-2326",545007
9,"402-45-6427",865016
10,"827-22-6062",829154
11,"624-06-2107",866605
12,"534-06-7335",609209
13,"246-87-3132",180479
14,"434-24-5776",767265
15,"062-18-1716",534837
16,"762-54-2442",354230
17,"174-15-3773",136357
18,"305-46-6381",239973
19,"736-31-5657",267488
20,"745-50-1433",215670
21,"830-52-1651",638888
22,"338-58-3601",836020
23,"248-16-4677",607581
24,"228-00-7826",695063
25,"576-22-2236",147636
26,"025-44-7058",236089
27,"236-84-3454",665319
28,"600-23-4656",924339
29,"871-10-4712",874687
30,"785-65-8200",381640
31,"048-82-5416",696180
32,"483-67-1026",247519
33,"525-77-1330",312163
34,"045-61-4184",759424
35,"050-61-7466",935544
36,"855-21-8447",612192
37,"886-51-1363",461396
38,"088-56-6634",165298
39,"883-66-3870",394440
40,"423-13-4375",672839
41,"262-68-1121",573766
42,"560-48-1425",125679
43,"415-36-3166",825365
44,"272-72-6427",434133
45,"705-77-5861",483219
46,"726-55-0272",629551
47,"738-62-1855",734307
48,"241-68-2480",133774
49,"535-50-6535",530007
50,"145-15-6482",808684
51,"566-64-8428",483807
52,"430-15-6024",887995
53,"653-40-1765",960721
54,"178-66-4118",438837
55,"852-00-8323",683432
56,"514-65-8714",996477
57,"878-10-8537",529507
58,"646-01-7012",416162
59,"714-20-8170",485810
60,"882-04-1325",832845
61,"844-30-2613",460406
62,"258-61-0744",284530
63,"546-81-4528",576744
64,"562-02-6725",779284
65,"827-07-0132",356919
66,"888-78-1742",725607
67,"072-25-7603",956815
68,"567-41-5342",604931
69,"576-44-1300",162860
70,"211-84-4005",423968
71,"684-88-2707",903618
72,"256-10-2086",213944
73,"802-72-0825",288149
74,"857-13-2148",405473
75,"426-78-2440",457617
76,"833-10-4215",512390
77,"724-64-0000",690951
78,"513-53-4378",987598
79,"726-25-8582",368722
80,"211-26-8460",178355
81,"140-01-8617",846494
82,"671-30-0017",492696
83,"027-30-2606",132101
84,"406-42-0705",759386
85,"332-18-5087",119074
86,"673-72-3828",739813
87,"866-20-8743",799057
88,"266-30-3668",869391
89,"435-57-2316",137706
90,"885-18-6760",322182
91,"561-13-2636",899805
92,"574-27-2386",834361
93,"736-32-4742",968780
94,"034-82-4477",635659
95,"338-58-6732",168982
96,"431-70-1077",276722
97,"281-25-1765",544791
98,"625-82-2217",918931
99,"312-78-2310",887035
100,"430-04-5447",355338
1,"650-63-6154",469755
2,"875-13-4278",142270
3,"566-83-8044",394243
4,"532-16-1750",491016
5,"683-00-5812",295144
6,"060-21-3317",118527
7,"611-71-0203",114994
8,"820-62-2326",191650
9,"402-45-6427",228474
10,"827-22-6062",881181
11,"624-06-2107",552064
12,"534-06-7335",238193
13,"246-87-3132",620769
14,"434-24-5776",940674
15,"062-18-1716",204857
16,"762-54-2442",111992
17,"174-15-3773",928552
18,"305-46-6381",457178
19,"736-31-5657",392621
20,"745-50-1433",759186
21,"830-52-1651",742819
22,"338-58-3601",882251
23,"248-16-4677",352388
24,"228-00-7826",374819
25,"576-22-2236",654843
26,"025-44-7058",950872
27,"236-84-3454",407692
28,"600-23-4656",228319
29,"871-10-4712",259657
30,"785-65-8200",524196
31,"048-82-5416",774353
32,"483-67-1026",116705
33,"525-77-1330",473532
34,"045-61-4184",676257
35,"050-61-7466",238230
36,"855-21-8447",276880
37,"886-51-1363",816490
38,"088-56-6634",849034
39,"883-66-3870",426841
40,"423-13-4375",811329
41,"262-68-1121",274418
42,"560-48-1425",188153
43,"415-36-3166",535051
44,"272-72-6427",920571
45,"705-77-5861",323669
46,"726-55-0272",102296
47,"738-62-1855",419023
48,"241-68-2480",659708
49,"535-50-6535",175060
50,"145-15-6482",393903
51,"566-64-8428",179574
52,"430-15-6024",411593
53,"653-40-1765",239205
54,"178-66-4118",159612
55,"852-00-8323",793696
56,"514-65-8714",479443
57,"878-10-8537",947383
58,"646-01-7012",385065
59,"714-20-8170",285988
60,"882-04-1325",317868
61,"844-30-2613",512221
62,"258-61-0744",147281
63,"546-81-4528",586662
64,"562-02-6725",520768
65,"827-07-0132",426024
66,"888-78-1742",388598
67,"072-25-7603",282447
68,"567-41-5342",256147
69,"576-44-1300",321538
70,"211-84-4005",307990
71,"684-88-2707",945397
72,"256-10-2086",302214
73,"802-72-0825",554669
74,"857-13-2148",491839
75,"426-78-2440",546659
76,"833-10-4215",294550
77,"724-64-0000",828491
78,"513-53-4378",484619
79,"726-25-8582",808387
80,"211-26-8460",819139
81,"140-01-8617",205029
82,"671-30-0017",947312
83,"027-30-2606",657075
84,"406-42-0705",112202
85,"332-18-5087",643341
86,"673-72-3828",815496
87,"866-20-8743",903162
88,"266-30-3668",616620
89,"435-57-2316",370899
90,"885-18-6760",928742
91,"561-13-2636",744223
92,"574-27-2386",115482
93,"736-32-4742",481477
94,"034-82-4477",116824
95,"338-58-6732",253965
96,"431-70-1077",807153
97,"281-25-1765",312539
98,"625-82-2217",578445
99,"312-78-2310",199767
100,"430-04-5447",704294
1,"650-63-6154",683520
2,"875-13-4278",778344
3,"566-83-8044",881976
4,"532-16-1750",581781
5,"683-00-5812",258037
6,"060-21-3317",766975
7,"611-71-0203",953961
8,"820-62-2326",419680
9,"402-45-6427",913270
10,"827-22-6062",490901
11,"624-06-2107",759001
12,"534-06-7335",822423
13,"246-87-3132",508880
14,"434-24-5776",118598
15,"062-18-1716",782328
16,"762-54-2442",936603
17,"174-15-3773",275879
18,"305-46-6381",766000
19,"736-31-5657",797717
20,"745-50-1433",669333
21,"830-52-1651",229990
22,"338-58-3601",518376
23,"248-16-4677",615450
24,"228-00-7826",465230
25,"576-22-2236",536871
26,"025-44-7058",693576
27,"236-84-3454",366305
28,"600-23-4656",279246
29,"871-10-4712",949956
30,"785-65-8200",365755
31,"048-82-5416",282117
32,"483-67-1026",541405
33,"525-77-1330",298689
34,"045-61-4184",226100
35,"050-61-7466",701944
36,"855-21-8447",208833
37,"886-51-1363",291615
38,"088-56-6634",554169
39,"883-66-3870",408329
40,"423-13-4375",731583
41,"262-68-1121",209302
42,"560-48-1425",399539
43,"415-36-3166",520765
44,"272-72-6427",746728
45,"705-77-5861",291258
46,"726-55-0272",936300
47,"738-62-1855",558663
48,"241-68-2480",835422
49,"535-50-6535",975950
50,"145-15-6482",204219
51,"566-64-8428",394366
52,"430-15-6024",276925
53,"653-40-1765",847825
54,"178-66-4118",868343
55,"852-00-8323",926674
56,"514-65-8714",467361
57,"878-10-8537",269312
58,"646-01-7012",195803
59,"714-20-8170",519768
60,"882-04-1325",897558
61,"844-30-2613",880197
62,"258-61-0744",118403
63,"546-81-4528",776042
64,"562-02-6725",495858
65,"827-07-0132",749208
66,"888-78-1742",587167
67,"072-25-7603",363995
68,"567-41-5342",110570
69,"576-44-1300",366015
70,"211-84-4005",930466
71,"684-88-2707",885806
72,"256-10-2086",534354
73,"802-72-0825",218631
74,"857-13-2148",247984
75,"426-78-2440",582157
76,"833-10-4215",360029
77,"724-64-0000",660267
78,"513-53-4378",835422
79,"726-25-8582",460509
80,"211-26-8460",575729
81,"140-01-8617",850917
82,"671-30-0017",670757
83,"027-30-2606",439449
84,"406-42-0705",527691
85,"332-18-5087",535410
86,"673-72-3828",261086
87,"866-20-8743",656308
88,"266-30-3668",413471
89,"435-57-2316",669569
90,"885-18-6760",411942
91,"561-13-2636",654437
92,"574-27-2386",481022
93,"736-32-4742",828547
94,"034-82-4477",709418
95,"338-58-6732",680914
96,"431-70-1077",835457
97,"281-25-1765",104890
98,"625-82-2217",822388
99,"312-78-2310",304069
100,"430-04-5447",400157
1,"650-63-6154",986682
2,"875-13-4278",755103
3,"566-83-8044",455976
4,"532-16-1750",837761
5,"683-00-5812",186665
6,"060-21-3317",601654
7,"611-71-0203",356940
8,"820-62-2326",506488
9,"402-45-6427",927441
10,"827-22-6062",846498
11,"624-06-2107",718867
12,"534-06-7335",825182
13,"246-87-3132",509453
14,"434-24-5776",590931
15,"062-18-1716",335610
16,"762-54-2442",443953
17,"174-15-3773",867863
18,"305-46-6381",727129
19,"736-31-5657",124282
20,"745-50-1433",344096
21,"830-52-1651",566506
22,"338-58-3601",602545
23,"248-16-4677",962411
24,"228-00-7826",938204
25,"576-22-2236",860016
26,"025-44-7058",972459
27,"236-84-3454",112829
28,"600-23-4656",345709
29,"871-10-4712",865944
30,"785-65-8200",976712
31,"048-82-5416",344516
32,"483-67-1026",625186
33,"525-77-1330",738037
34,"045-61-4184",389629
35,"050-61-7466",235673
36,"855-21-8447",770930
37,"886-51-1363",556159
38,"088-56-6634",475341
39,"883-66-3870",960735
40,"423-13-4375",479781
41,"262-68-1121",728358
42,"560-48-1425",615695
43,"415-36-3166",444682
44,"272-72-6427",747525
45,"705-77-5861",130284
46,"726-55-0272",217392
47,"738-62-1855",803571
48,"241-68-2480",664251
49,"535-50-6535",448852
50,"145-15-6482",367542
51,"566-64-8428",376690
52,"430-15-6024",349748
53,"653-40-1765",123758
54,"178-66-4118",596915
55,"852-00-8323",332276
56,"514-65-8714",180304
57,"878-10-8537",925227
58,"646-01-7012",315024
59,"714-20-8170",406803
60,"882-04-1325",242376
61,"844-30-2613",520107
62,"258-61-0744",532541
63,"546-81-4528",277193
64,"562-02-6725",866079
65,"827-07-0132",422270
66,"888-78-1742",688981
67,"072-25-7603",270982
68,"567-41-5342",816535
69,"576-44-1300",509439
70,"211-84-4005",309549
71,"684-88-2707",983621
72,"256-10-2086",750045
73,"802-72-0825",822950
74,"857-13-2148",942424
75,"426-78-2440",642634
76,"833-10-4215",877932
77,"724-64-0000",301703
78,"513-53-4378",181550
79,"726-25-8582",173107
80,"211-26-8460",304415
81,"140-01-8617",100710
82,"671-30-0017",597070
83,"027-30-2606",981287
84,"406-42-0705",841376
85,"332-18-5087",497313
86,"673-72-3828",137545
87,"866-20-8743",598904
88,"266-30-3668",639308
89,"435-57-2316",159128
90,"885-18-6760",275184
91,"561-13-2636",763494
92,"574-27-2386",224608
93,"736-32-4742",599359
94,"034-82-4477",471776
95,"338-58-6732",531802
96,"431-70-1077",138614
97,"281-25-1765",425445
98,"625-82-2217",902242
99,"312-78-2310",786853
100,"430-04-5447",212140
1,"650-63-6154",239339
2,"875-13-4278",512034
3,"566-83-8044",401975
4,"532-16-1750",306127
5,"683-00-5812",984128
6,"060-21-3317",133646
7,"611-71-0203",427464
8,"820-62-2326",988777
9,"402-45-6427",189634
10,"827-22-6062",105453
11,"624-06-2107",916581
12,"534-06-7335",326411
13,"246-87-3132",699145
14,"434-24-5776",711685
15,"062-18-1716",245857
16,"762-54-2442",690984
17,"174-15-3773",842046
18,"305-46-6381",206666
19,"736-31-5657",828894
20,"745-50-1433",594699
21,"830-52-1651",786146
22,"338-58-3601",862091
23,"248-16-4677",432679
24,"228-00-7826",394255
25,"576-22-2236",260346
26,"025-44-7058",817655
27,"236-84-3454",967452
28,"600-23-4656",391510
29,"871-10-4712",314925
30,"785-65-8200",548252
31,"048-82-5416",448796
32,"483-67-1026",723137
33,"525-77-1330",810539
34,"045-61-4184",941047
35,"050-61-7466",693192
36,"855-21-8447",290130
37,"886-51-1363",141750
38,"088-56-6634",369887
39,"883-66-3870",411964
40,"423-13-4375",396824
41,"262-68-1121",424282
42,"560-48-1425",690133
43,"415-36-3166",630620
44,"272-72-6427",587442
45,"705-77-5861",130048
46,"726-55-0272",403651
47,"738-62-1855",475034
48,"241-68-2480",907356
49,"535-50-6535",930406
50,"145-15-6482",989843
51,"566-64-8428",401513
52,"430-15-6024",971811
53,"653-40-1765",492624
54,"178-66-4118",359947
55,"852-00-8323",410063
56,"514-65-8714",429746
57,"878-10-8537",831772
58,"646-01-7012",966109
59,"714-20-8170",559965
60,"882-04-1325",839993
61,"844-30-2613",490044
62,"258-61-0744",688608
63,"546-81-4528",481824
64,"562-02-6725",838930
65,"827-07-0132",179390
66,"888-78-1742",374196
67,"072-25-7603",256024
68,"567-41-5342",779152
69,"576-44-1300",940148
70,"211-84-4005",555798
71,"684-88-2707",328074
72,"256-10-2086",967101
73,"802-72-0825",456969
74,"857-13-2148",247784
75,"426-78-2440",765126
76,"833-10-4215",188268
77,"724-64-0000",588846
78,"513-53-4378",735606
79,"726-25-8582",952370
80,"211-26-8460",367101
81,"140-01-8617",124757
82,"671-30-0017",645226
83,"027-30-2606",382898
84,"406-42-0705",859105
85,"332-18-5087",899568
86,"673-72-3828",466152
87,"866-20-8743",901045
88,"266-30-3668",527981
89,"435-57-2316",609570
90,"885-18-6760",216266
91,"561-13-2636",452319
92,"574-27-2386",160936
93,"736-32-4742",133431
94,"034-82-4477",617214
95,"338-58-6732",448841
96,"431-70-1077",790368
97,"281-25-1765",742706
98,"625-82-2217",218876
99,"312-78-2310",777865
100,"430-04-5447",412341
1,"650-63-6154",979897
2,"875-13-4278",922898
3,"566-83-8044",810781
4,"532-16-1750",265495
5,"683-00-5812",960234
6,"060-21-3317",563104
7,"611-71-0203",705737
8,"820-62-2326",561114
9,"402-45-6427",769026
